Context,"English","Gibberish","French","Spanish","German","Korean","BrazillianPortuguese","SimplifedChinese","Russian","Italian","Portuguese","Hungarian","Japanese","Norwegian","Polish","Dutch","Romanian","Danish","Czech","Swedish","Ukrainian","Greek","Arabic","Turkish","Finnish"
"","Out of Stock","","","","","","Fora de Estoque","","","","Fora de Estoque","","","","","","","","","","","","","",""
"","Which stores show up in the list to choose from. Mine: yours. In town: every store in this table's settlement.","","","","","","Quais lojas aparecem para escolher. Minhas: as suas. Da cidade: todas as do assentamento desta mesa.","","","","Quais lojas aparecem para escolher. Minhas: as suas. Da cidade: todas as do assentamento desta mesa.","","","","","","","","","","","","","",""
"","The store being watched.","","","","","","A loja que esta sendo monitorada.","","","","A loja que esta sendo monitorada.","","","","","","","","","","","","","",""
"","Move to the next store in the list.","","","","","","Passa para a proxima loja da lista.","","","","Passa para a proxima loja da lista.","","","","","","","","","","","","","",""
"","Rebuild the list now.","","","","","","Refaz a lista agora.","","","","Refaz a lista agora.","","","","","","","","","","","","","",""
"","What this table crafts, is sold out at the store, and you have not queued yet.","","","","","","O que esta mesa fabrica, esta zerado na loja, e voce ainda nao mandou fabricar.","","","","O que esta mesa fabrica, esta zerado na loja, e voce ainda nao mandou fabricar.","","","","","","","","","","","","","",""
"","(press Refresh)","","","","","","(aperte Atualizar)","","","","(aperte Atualizar)","","","","","","","","","","","","","",""
"","no store of yours","","","","","","nenhuma loja sua","","","","nenhuma loja sua","","","","","","","","","","","","","",""
"","no store in this settlement","","","","","","nenhuma loja neste assentamento","","","","nenhuma loja neste assentamento","","","","","","","","","","","","","",""
"","Nothing missing here.","","","","","","Nada faltando aqui.","","","","Nada faltando aqui.","","","","","","","","","","","","","",""
"","could not build the list (see log)","","","","","","erro ao montar a lista (ver log)","","","","erro ao montar a lista (ver log)","","","","","","","","","","","","","",""
"","Mine","","","","","","Minhas","","","","Minhas","","","","","","","","","","","","","",""
"","InTown","","","","","","Da cidade","","","","Da cidade","","","","","","","","","","","","","",""
